Max_Bandwidth,SPF,LUF,MUF 
20,675,822,831
40,1303,1595,1609
60,1929,2365,2388
80,2562,3139,3166
100,3192,3914,3942
120,3819,4675,4720
140,4445,5452,5497
160,5086,6241,6270
180,5703,7009,7049
200,6326,7770,7824
220,6962,8542,8605
240,7587,9342,9369
260,8216,10102,10168
280,8849,10883,10935
300,9483,11636,11719
320,10086,12395,12499
340,10728,13193,13303
360,11362,13965,14037
380,11985,14715,14817
400,12626,15491,15618
420,13233,16207,16395
440,13889,16830,17147
460,14501,17504,17938
480,15138,18099,18709
500,15729,18734,19472
